Frame	Center_X	Center_Y	Length
89	224	675	23
89	224	676	23
90	224	674	23
90	224	673	23
91	224	671	23
92	224	669	23
92	224	668	23
93	225	666	23
94	225	663	23
94	226	665	23
94	225	665	23
94	226	664	23
94	225	664	23
94	226	663	23
95	226	661	23
95	226	662	23
96	226	659	23
96	226	660	23
97	226	658	23
97	227	658	23
97	226	657	23
97	227	657	23
97	226	656	23
98	228	655	23
98	228	654	23
98	226	655	23
98	227	655	23
98	227	654	23
98	228	656	23
98	227	656	23
99	227	653	23
99	228	654	23
99	227	652	23
99	227	654	23
99	228	653	23
99	228	652	23
100	228	651	23
100	228	650	23
100	229	651	23
100	227	651	23
100	228	652	23
101	228	649	23
101	229	650	23
101	228	648	23
101	229	649	23
101	230	649	23
101	228	650	23
101	229	648	23
102	230	647	23
102	228	648	23
102	229	646	23
102	228	647	23
102	230	646	23
102	229	648	23
102	230	648	23
102	228	646	23
102	229	647	23
103	229	646	23
103	230	646	23
103	229	645	23
103	230	645	23
103	229	644	23
103	230	644	23
104	231	643	23
104	231	642	23
104	230	643	23
104	230	642	23
104	231	644	23
104	230	644	23
105	230	641	23
105	231	642	23
105	230	640	23
105	232	642	23
105	230	642	23
105	231	641	23
105	232	641	23
105	231	640	23
105	232	640	23
106	230	640	23
106	231	639	23
106	232	639	23
106	230	639	23
106	231	638	23
106	232	638	23
106	231	641	23
106	232	641	23
106	231	640	23
106	232	640	23
107	232	636	23
107	232	639	23
107	233	639	23
107	231	638	23
107	232	638	23
107	233	638	23
107	231	637	23
107	232	637	23
107	233	637	23
108	234	637	23
108	232	636	23
108	233	636	23
108	234	636	23
108	232	635	23
108	233	635	23
108	234	635	23
108	232	637	23
108	233	637	23
109	233	634	23
109	234	634	23
109	233	633	23
109	234	633	23
109	233	636	23
109	234	636	23
109	232	635	23
109	233	635	23
109	234	635	23
109	232	634	23
110	233	634	23
110	236	633	23
110	234	634	23
110	233	633	23
110	234	633	23
110	235	632	23
110	234	632	23
110	233	632	23
110	235	634	23
110	235	633	23
110	234	631	23
111	235	630	23
111	236	633	23
111	234	630	23
111	234	633	23
111	235	632	23
111	236	632	23
111	234	632	23
111	235	631	23
111	236	631	23
111	236	630	23
111	235	633	23
111	234	631	23
112	237	630	23
112	235	630	23
112	235	629	23
112	236	629	23
112	237	629	23
112	236	628	23
112	235	631	23
112	236	631	23
112	237	631	23
112	236	630	23
113	236	627	23
113	237	630	23
113	237	627	23
113	236	629	23
113	237	629	23
113	238	629	23
113	236	628	23
113	237	628	23
113	238	628	23
113	236	630	23
114	236	627	23
114	237	627	23
114	238	627	23
114	236	626	23
114	239	627	23
114	237	626	23
114	238	626	23
114	238	629	23
114	236	628	23
